2025-12-20 10:05:33,1,occupied,1
2025-12-20 10:05:33,2,occupied,1
2025-12-20 10:05:33,3,occupied,1
2025-12-20 10:05:34,4,occupied,1
2025-12-20 10:05:34,5,occupied,1
2025-12-20 10:05:34,6,occupied,1
2025-12-20 10:05:34,7,occupied,1
2025-12-20 10:05:34,8,occupied,1
2025-12-20 10:05:57,7,free,0
2025-12-20 10:05:58,7,occupied,1
2025-12-20 10:05:59,7,free,0
2025-12-20 10:05:59,7,occupied,1
2025-12-20 13:04:22,1,occupied,1
2025-12-20 13:04:22,2,occupied,1
2025-12-20 13:04:22,3,occupied,1
2025-12-20 13:04:22,4,occupied,1
2025-12-20 13:04:22,5,occupied,1
2025-12-20 13:04:22,6,occupied,1
2025-12-20 13:04:23,7,occupied,1
2025-12-20 13:04:23,8,occupied,1
2025-12-20 13:04:23,2,free,0
2025-12-20 13:04:23,2,occupied,1
2025-12-20 13:04:32,4,free,0
2025-12-20 13:05:14,5,free,0
2025-12-20 13:05:15,5,occupied,1
2025-12-20 13:05:20,5,free,0
2025-12-20 13:05:20,5,occupied,1
2025-12-20 13:05:21,5,free,0
2025-12-20 13:06:28,4,occupied,1
2026-01-03 14:17:55,1,occupied,1
2026-01-03 14:17:55,2,occupied,1
2026-01-03 14:17:55,3,occupied,1
2026-01-03 14:17:55,5,occupied,1
2026-01-03 14:17:58,6,occupied,1
2026-01-03 14:17:58,7,occupied,1
2026-01-03 14:17:59,8,occupied,1
2026-01-03 15:03:54,7,free,0
2026-01-03 15:03:57,6,free,0
2026-01-03 15:03:58,7,occupied,1
2026-01-03 15:03:58,7,free,0
2026-01-03 15:03:58,6,occupied,1
2026-01-03 15:03:58,7,occupied,1
2026-01-03 15:03:58,5,free,0
2026-01-03 15:03:59,5,occupied,1
2026-01-03 15:03:59,8,free,0
2026-01-03 15:03:59,4,occupied,1
2026-01-03 15:03:59,4,free,0
2026-01-03 15:04:00,8,occupied,1
2026-01-03 15:04:00,4,occupied,1
2026-01-03 15:04:08,4,free,0
2026-01-03 15:04:11,8,occupied,1
2026-01-03 15:05:15,5,free,0
2026-01-03 15:05:15,5,occupied,1
2026-01-03 15:05:18,5,free,0
2026-01-03 15:05:19,5,occupied,1
2026-01-03 15:07:37,5,free,0
2026-01-03 15:07:38,5,occupied,1
2026-01-03 15:07:41,5,free,0
2026-01-03 15:07:41,5,occupied,1
2026-01-03 15:07:42,5,free,0
2026-01-03 15:07:42,5,occupied,1
2026-01-03 15:07:43,5,free,0
2026-01-03 15:07:43,5,occupied,1
2026-01-03 15:07:50,6,occupied,1
2026-01-03 15:08:15,5,free,0
2026-01-03 15:08:15,5,occupied,1
2026-01-03 15:08:21,5,occupied,1
2026-01-03 15:08:21,5,free,0
2026-01-03 15:08:26,5,free,0
2026-01-03 15:08:27,5,occupied,1
2026-01-03 15:08:27,5,free,0
2026-01-03 15:08:27,5,occupied,1
2026-01-03 15:08:30,5,free,0
2026-01-03 15:08:30,5,occupied,1
2026-01-03 15:08:35,5,free,0
2026-01-03 15:08:35,5,occupied,1
2026-01-03 15:08:47,5,occupied,1
